編號,案類,發生(現)日期,發生時段,發生(現)地點
162,住宅竊盜,1040407,10~12,台北市內湖區紫陽里文德路22巷59弄1-30號
163,住宅竊盜,1040408,10~12,台北市中正區螢雪里重慶南路三段74巷1-30號
164,住宅竊盜,1040408,16~18,台北市內湖區寶湖里成功路二段301-330號
165,住宅竊盜,1040409,10~12,台北市中山區農安街1-30號
166,住宅竊盜,1040410,07~09,台北市北投區吉利里23鄰吉利街320巷1弄1-30號
167,住宅竊盜,1040410,16~18,台北市萬華區忠德里4鄰寶興街91-120號
168,住宅竊盜,1040410,19~21,台北市松山區民生東路五段181-210號
169,住宅竊盜,1040411,10~12,台北市內湖區內湖路1段359巷1 ~ 30號
170,住宅竊盜,1040413,13~15,台北市萬華區貴陽街二段151-180號
171,住宅竊盜,1040415,07~09,台北市松山區民生東路四段55巷1-30號
172,住宅竊盜,1040415,16~18,台北市萬華區西園路二段261巷31-60號
173,住宅竊盜,1040415,22~24,台北市萬華區富民里4鄰貴陽街二段151-180號
174,住宅竊盜,1040416,04~06,台北市文山區萬和里1鄰溪州街137巷61-90號
175,住宅竊盜,1040416,07~09,台北市士林區三玉里忠誠路二段41巷1-30號
176,住宅竊盜,1040416,10~12,台北市中山區中山北路二段93巷1-30號
177,住宅竊盜,1040416,13~15,台北市內湖區康樂街61巷12弄1-30號
178,住宅竊盜,1040416,13~15,台北市北投區永欣里石牌路二段181-210號
179,住宅竊盜,1040416,19~21,台北市南港區舊莊里舊莊街一段145巷6弄1-30號
180,住宅竊盜,1040417,16~18,台北市中山區建國北路三段22巷1-30號
181,住宅竊盜,1040417,16~18,台北市北投區奇岩里奇岩路31-60號
182,住宅竊盜,1040419,13~15,台北市北投區榮華里榮華一路15巷1-30號
183,住宅竊盜,1040420,16~18,台北市內湖區瑞光里瑞光路235巷1-30號
184,住宅竊盜,1040420,22~24,台北市中山區遼寧街241-270號
185,住宅竊盜,1040421,19~21,台北市文山區指南里15鄰指南路三段26巷1-30號
186,住宅竊盜,1040422,19~21,台北市萬華區萬大路493巷12弄1-30號
187,住宅竊盜,1040423,04~06,台北市內湖區康樂街136巷15弄1-30號
188,住宅竊盜,1040423,13~15,台北市內湖區樂康里康樂街136巷15弄1-30號
189,住宅竊盜,1040423,19~21,台北市士林區仁勇里16鄰大東路121-150號
190,住宅竊盜,1040423,19~21,台北市萬華區環河南路二段250巷3弄1-30號
191,住宅竊盜,1040424,10~12,台北市內湖區樂康里康樂街72巷17弄121-150號
192,住宅竊盜,1040425,04~06,台北市文山區興業里23鄰辛亥路五段124巷1-30號
193,住宅竊盜,1040425,22~24,台北市大同區揚雅里民族西路121-150號
194,住宅竊盜,1040426,04~06,台北市北投區智仁里21鄰中和街525巷10弄1-30號
195,住宅竊盜,1040427,07~09,台北市中山區大直街62巷5弄1-30號
196,住宅竊盜,1040427,07~09,台北市內湖區湖興里20鄰成功路二段250巷31-60號
197,住宅竊盜,1040427,13~15,台北市中山區大直街62巷5弄1-30號
198,住宅竊盜,1040427,16~18,台北市萬華區德昌街132巷1-30號
199,住宅竊盜,1040427,22~24,台北市內湖區港都里港華街85巷1-30號
200,住宅竊盜,1040429,13~15,台北市中山區敬業三路162巷121-150號
201,住宅竊盜,1040429,13~15,台北市中山區敬業三路162巷31-60號
202,住宅竊盜,1040430,07~09,台北市內湖區麗山街328巷1~30號
203,住宅竊盜,1040430,19~21,台北市內湖區樂康里康樂街136巷18弄31-60號
204,住宅竊盜,1040501,16~18,台北市中山區吉林路379巷1-30號
205,住宅竊盜,1040501,22~24,台北市信義區忠孝東路
206,住宅竊盜,1040503,19~21,台北市松山區寶清街104巷1-30號
207,住宅竊盜,1040504,10~12,台北市中山區長安東路一段31-60號
208,住宅竊盜,1040504,19~21,台北市內湖區西湖里內湖路一段323巷1-30號
209,住宅竊盜,1040505,16~18,台北市士林區菁山里永公路511-540號
210,住宅竊盜,1040506,19~21,台北市文山區試院里29鄰木柵路一段1-30號
211,住宅竊盜,1040507,19~21,台北市信義區大道里大道路7巷1弄1-30號
212,住宅竊盜,1040508,04~06,台北市大同區斯文里大龍街89巷1-30號
213,住宅竊盜,1040508,07~09,台北市大安區車層里忠孝東路四段216巷19弄1-30號
214,住宅竊盜,1040508,13~15,台北市北投區大屯里復興三路521巷1-30號
215,住宅竊盜,1040509,10~12,台北市士林區聖山里20鄰忠義街46巷1-30號
216,住宅竊盜,1040510,04~06,台北市大安區虎嘯里樂業街15巷1-30號
217,住宅竊盜,1040510,10~12,台北市內湖區新明路380巷9弄1~30號
218,住宅竊盜,1040510,13~15,台北市中山區中山北路一段91-120號
219,住宅竊盜,1040511,22~24,台北市萬華區萬大路322巷55弄1-30號
220,住宅竊盜,1040512,10~12,台北市北投區開明里珠海路107巷1-30號
221,住宅竊盜,1040512,13~15,台北市中正區文祥里金山南路一段91-120號
222,住宅竊盜,1040512,19~21,台北市松山區延壽街61-90號
223,住宅竊盜,1040514,10~12,台北市內湖區康寧路三段245巷31-60號
224,住宅竊盜,1040514,10~12,台北市文山區樟新里木新路三段301-330號
225,住宅竊盜,1040515,10~12,台北市內湖區康寧路一段156巷7弄1-30號
226,住宅竊盜,1040515,10~12,台北市內湖區麗山街46巷5弄1-30號
227,住宅竊盜,1040515,19~21,台北市北投區榮光里致遠一路二段40巷1弄1-30號
228,住宅竊盜,1040518,10~12,台北市中正區黎明里信陽街1-30號
229,住宅竊盜,1040521,16~18,台北市北投區文化里文化三路1-30號
230,住宅竊盜,1040521,22~24,台北市士林區福志里24鄰中山北路五段756巷1-30號
231,住宅竊盜,1040522,16~18,台北市中正區板溪里南昌路二段91-120號
232,住宅竊盜,1040523,10~12,台北市松山區南京東路五段291巷44弄1-30號
233,住宅竊盜,1040523,10~12,台北市松山區南京東路五段59巷28弄1-30號
234,住宅竊盜,1040525,19~21,台北市文山區試院里木柵路一段31-60號
235,住宅竊盜,1040526,04~06,台北市北投區洲美里洲美街81巷1-30號
236,住宅竊盜,1040526,16~18,台北市中山區錦州街181-210號
237,住宅竊盜,1040526,22~24,台北市中山區林森北路119巷1-30號
238,住宅竊盜,1040528,04~06,台北市文山區萬祥里興隆路一段70巷1-30號
239,住宅竊盜,1040528,19~21,台北市士林區永倫里6鄰社中街426巷1-30號
240,住宅竊盜,1040529,16~18,台北市大同區斯文里承德路三段85巷1-30號
241,住宅竊盜,1040529,22~24,台北市大同區光能里南京西路31~60號
242,住宅竊盜,1040531,22~24,台北市文山區興得里興隆路三段192巷8弄31-60號
243,住宅竊盜,1040531,22~24,台北市信義區大道里林口街151-180號
244,住宅竊盜,1040601,22~24,台北市中山區八德路二段241-270號
245,住宅竊盜,1040602,13~15,台北市北投區泉源里東昇路91-120號
